# Data Forge unlock chain
# Day 1: pipeline_design → advanced_grep → awk_queries → sed_transform → regex → perl_regex → sed_advanced → awk_advanced
pipeline_design|advanced_grep
advanced_grep|awk_queries
awk_queries|sed_transform
sed_transform|regex
regex|perl_regex
perl_regex|sed_advanced
sed_advanced|awk_advanced
# Day 2: jq_basics → jq_filtering → jq_output → jq_advanced
jq_basics|jq_filtering
jq_filtering|jq_output
jq_output|jq_advanced
# Day 3: csvkit → xsv → csvsql
csvkit|xsv
xsv|csvsql
# Day 4: sqlite3_basics → sqlite3_advanced
sqlite3_basics|sqlite3_advanced
# Day 6: curl → api_pipelines
curl|api_pipelines
# Day 8: etl_review → capstone → pipeline_tools
etl_review|capstone
capstone|pipeline_tools
